Star,,Gas1,,Gas2,,Gas3,,2Halo,,Total,,r200,,DMO,,DMB1,,DMB2,,DMB3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,5.605154276326304,306741464.5297687,5.184289741326648,2154434690.031878,,,,,,,,,1.1315462674391816,5060374341088.454,4.921419610660858,6356569748023.139,6.812920690579622,9221778271543.713,8.389359662651003,11514591288657.238
,,5.828230551868851,197831888.27841622,5.605154276326304,1688547287.589984,,,,,,,,,1.2075938815897977,4852196752101.393,5.390616273981278,6955328096229.105,6.992504722664032,9733556599876.383,8.72324290929692,12599210498948.664
,,6.219927330819321,155051577.9832622,5.752902393633721,1323406068.2458103,,,,,,,,,1.305627259892775,4597074267627.095,5.7529023936337325,7610486605804.784,7.861043979437951,10273736940233.047,9.431402320497337,13621517600925.602
,,6.6379488004756135,86398844.94839655,6.139536607422704,896150501.946605,,,,,,,,,1.4301027166400226,4381582138682.1357,6.1395366074227224,8081195792296.657,8.173901097433003,10974834120016.93,9.806757216915786,14464009520407.586
,,6.902128664695646,67715459.63473293,6.467470601655732,637136967.6461291,,,,,,,,,1.5664453730149104,4176191403565.926,6.383880454607359,8427909650394.873,8.953181757208288,12300366467231.99,10.741710569440936,16210961891629.145
,,7.560161507956609,45853834.73543182,6.724865703177147,452985870.854862,,,,,,,,,1.6717211683959052,4028491700246.061,6.902128664695668,9277287087616.295,9.309504231522505,13061145086686.695,,
,,8.068255840302886,32600744.132619463,6.992504722664018,338143099.4329728,,,,,,,,,1.807432748436951,3886015704427.2817,7.659153808431729,10335577830070.232,9.68000777678382,14205932215043.924,,
,,8.389359662650987,26826957.952797163,7.462448653723023,252415722.1026701,,,,,,,,,2.058540055622934,3793842262248.324,8.068255840302903,11040895136738.072,10.3305702129534,14994314675274.707,,
,,,,7.759442308140523,207711392.596645,,,,,,,,,2.3752329794565377,3793842262248.324,8.83746452774854,12080894444044.424,10.741710569440936,16604815946514.877,,
,,,,8.068255840302886,140652724.21052337,,,,,,,,,2.7406470383160597,3980428550054.205,9.554896535724046,13540015939071.348,,,,
,,,,8.389359662650987,110237166.64825293,,,,,,,,,3.0019339326364216,4151203986628.7183,10.197050644580973,14638660529265.996,,,,
,,,,8.837464527748505,78375422.35104804,,,,,,,,,3.418993735733633,4488035037879.064,10.741710569440936,16017552061318.65,,,,
,,,,9.189181639339163,67715459.63473293,,,,,,,,,3.601614077252772,4794306137298.21,,,,,,
,,,,9.806757216915765,50547968.21191225,,,,,,,,,3.9966389379830884,5030096590070.827,,,,,,
,,,,10.065256777188319,31050134.9512486,,,,,,,,,4.265240288719639,5438241486775.918,,,,,,
,,,,,,,,,,,,,,4.551893479198783,5844324643802.852,,,,,,
,,,,,,,,,,,,,,4.921419610660858,6394831962815.767,,,,,,
,,,,,,,,,,,,,,5.2521725196619276,6749724079664.514,,,,,,
,,,,,,,,,,,,,,5.7529023936337325,7297400528407.201,,,,,,
,,,,,,,,,,,,,,6.060184910378745,7889515755530.602,,,,,,
,,,,,,,,,,,,,,6.637948800475634,8684633044553.349,,,,,,
,,,,,,,,,,,,,,6.992504722664032,9277287087616.295,,,,,,
,,,,,,,,,,,,,,7.365998709266244,10030051435631.63,,,,,,
,,,,,,,,,,,,,,7.963976016913794,10843895510758.07,,,,,,
,,,,,,,,,,,,,,8.72324290929692,11936759644392.04,,,,,,
,,,,,,,,,,,,,,9.309504231522505,13139764272592.725,,,,,,
,,,,,,,,,,,,,,9.554896535724046,13785995630881.793,,,,,,
,,,,,,,,,,,,,,9.93516630660013,14638660529265.996,,,,,,
,,,,,,,,,,,,,,10.465838078530535,15731755327800.543,,,,,,
